gene	geneID
Fbxl20	84961
Fbxo6	26270
Arhgap5	394
Fam208a	23272
Akap11	11215
Gm11437	284099
Vps41	27072
Zfp382	84911
Vangl2	57216
Unc13b	10497
Ccdc28a	25901
Pcdhgc4	56098
Ezh2	2146
Mthfd2l	441024
Adtrp	84830
Kcnj15	3772
Zfp644	84146
Ddb1	1642
Tax1bp1	8887
Dph5	51611
Retreg1	54463
Lhx3	8022
Ebp	10682
Dmtf1	9988
Gpr142	350383
Spata21	374955
Cog7	91949
Tmem69	51249
Hspa2	3306
Gm5294	100288524
Emg1	10436
Timm17b	10245
Pusl1	126789
Klk8	11202
Tcirg1	10312
Scaf11	9169
Mvd	4597
Yipf7	285525
Osbpl7	114881
Stx19	415117
B2m	567
Rpl19	6143
Ss18l1	26039
Serinc1	57515
Gtsf1l	149699
Oxgr1	27199
Tle4	7091
Ihh	3549
Slc9a3	6550
Cyp2r1	120227
Cfap97d1	284067
Kctd16	57528
St14	6768
Cilp	8483
Nkx1-2	390010
Fat4	79633
Ltb4r2	56413
Pla2g10	8399
Olfr1123	282770
Fzd5	7855
Stx3	6809
Alg6	29929
Snx7	51375
Wtap	9589
Zbtb22	9278
Olfr444	135941
Olfr441	135941
Olfr237-ps1	135941
Sobp	55084
Rgr	5995
Tbl3	10607
Uts2	10911
Pofut2	23275
Sap30bp	29115
Ciao2b	51647
Mindy4	84182
Fam3a	60343
Pstpip1	9051
Wdyhv1	55093
Ripor2	9750
Pdxk	8566
Brinp3	339479
Adam22	53616
Mpc2	25874
Ginm1	116254
Mixl1	83881
Exoc3	11336
Zfp36l1	677
Lfng	3955
Zfp189	7743
Tpst2	8459
Homer2	9455
Glra2	2742
Olfr1396	285659
B3gnt6	192134
Lnpep	4012
Mga	23269
Peg10	23089
Rps6ka5	9252
Dpp9	91039
Mbd3	53615
Ergic3	51614
Fbxl19	54620
Gsx1	219409
Rabl6	55684
Zfp386	162655
Capzb	832
Fabp2	2169
Olfr26	283159
Olfr933	283159
Bccip	56647
Plekho1	51177
Ckmt1	548596
Ckmt1	1159
Heph	9843
Oas1a	4938
Oas1g	4938
Gclm	2730
Wdr12	55759
Lrrc14b	389257
Fndc9	408263
Mccc1	56922
Psors1c2	170680
Adsl	158
Ptcd1	100526740
Oaz1	4946
Tspan4	7106
Clec1b	51266
Otulin	90268
Sept14	346288
Chrng	1146
Ccnd1	595
Shtn1	57698
Wdr62	284403
Cdh15	1013
Colec11	78989
Tmco6	55374
Eepd1	80820
St13	6767
Wee2	494551
Adck5	203054
Cdk14	5218
Numbl	9253
Polr2c	5432
Ndufa13	51079
Prrx2	51450
Tarbp2	6895
Slc35f6	54978
Zfp385c	100507656
Abhd12b	145447
Chrne	1145
Rnd2	8153
Katnal1	84056
Ddit4l	115265
Ppara	5465
Nmi	9111
Pax6	5080
Srrd	402055
Dnajb4	11080
Rab1a	5861
Rptn	126638
Mrps6	64968
Cldnd1	56650
Zfp366	167465
Olfr631	390059
Mybbp1a	10514
D630045J12Rik	57670
Tsg101	7251
Gpx4	2879
Kcne2	9992
Zfp385a	25946
Syndig1l	646658
Atf2	1386
Susd6	9766
Aff1	4299
Pcsk4	54760
Zfyve19	84936
Sugp2	10147
Cntnap2	26047
Itm2b	9445
Vdac2	7417
Cyp1a1	1543
Dytn	391475
Agap2	116986
Akap4	8852
Slc13a1	6561
Phkg1	5260
Ncbp2	22916
Nmbr	4829
Ubap1	51271
Ubd	10537
Kcmf1	56888
Cfap65	255101
Fam163a	148753
Hoxc6	3223
Gsdma	284110
Metrnl	284207
Tex30	93081
Armcx3	51566
Zbbx	79740
Rnf115	27246
Olfr152	10798
Zfyve1	53349
Eif1ad	84285
Pex11a	8800
Efs	10278
Cpeb3	22849
Eng	2022
Aspa	443
Tmc8	147138
Pqlc2	54896
Eya2	2139
Lsp1	4046
Tceal8	90843
Abhd10	55347
Vps13a	23230
Vax2	25806
Nbeal2	23218
Mthfsd	64779
Tgm3	7053
Dbp	1628
Nelfb	25920
Abcc10	89845
Atxn7l2	127002
Opalin	93377
Pkp1	5317
Bub1b	701
Nckap1l	3071
Snai3	333929
Gna11	2767
Zfp1	162239
Zfp446	55663
Snx13	23161
Actg1	71
Slc25a21	89874
Uqcrq	27089
Clk2	1196
Olig1	116448
Trim41	90933
Trat1	50852
Homer1	9456
Neo1	4756
Snrpf	6636
Cd59b	966
Rilp	83547
Glis3	169792
Mrgprg	386746
Ttc23	64927
Lin28a	79727
Cfap206	154313
Btla	151888
Ccdc12	151903
Gm31714	90592
Gm10324	90592
Gm7762	90592
Gm19428	90592
Usp38	84640
Fn1	2335
Vipr1	7433
Lrrc71	149499
Ino80b	83444
Tubgcp3	10426
Spred3	399473
Rab5b	5869
Mapk9	5601
Stard5	80765
Tmem54	113452
Gmeb2	26205
Phkb	5257
Adarb2	105
Mss51	118490
Fabp6	2172
Dnajc30	84277
G0s2	50486
Hist1h2bf	8339
Zfp276	92822
Adm	133
Tspan33	340348
Adamts4	9507
Ticam2	353376
Parp2	10038
Manf	7873
Igll1	3543
Igll1	100423062
Ptpn1	5770
Col5a1	1289
Mcrs1	10445
Kctd17	79734
Dohh	83475
Tlnrd1	59274
Gse1	23199
Cstf2t	23283
St8sia3	51046
St3gal6	10402
Klk1b8	354
Klk1b3	354
Klk1b24	354
Klk1b5	354
Klk1	354
Klk1b16	354
Klk1b27	354
Klk1b9	354
Klk1b21	354
Klk1b26	354
Klk1b4	354
Klk1b11	354
Klk1b1	354
Klk1b22	354
Pacsin2	11252
Rcc2	55920
Dnase1	1773
Mamdc4	158056
Ipo11	51194
Slc46a1	113235
Wnt2	7472
Aplp2	334
Bmp3	651
Med30	90390
Tgm7	116179
Vps26b	112936
Ngrn	51335
Nudcd2	134492
Nop14	8602
Erich2	285141
Sgta	6449
Pigo	84720
Npsr1	387129
Otx2	5015
Mrps18a	55168
Ltbp4	8425
Igfbp5	3488
Psme4	23198
Npr3	4883
Actbl2	345651
Umod	7369
Smpd4	55627
Cnppd1	27013
Zswim4	65249
Tbpl2	387332
6430550D23Rik	140873
Atp6v0e2	155066
Rmi1	80010
Dusp15	128853
Akap5	9495
Tspan12	23554
Pde4b	5142
Mrps24	64951
Rapgef4	11069
Ppp3r1	5534
Cst8	10047
Pus7	54517
Ccdc34	91057
Sgtb	54557
Hsd17b4	3295
P2rx6	9127
Nkx6-2	84504
Casd1	64921
Tex45	374877
Lmo1	4004
Mrpl43	84545
Tmem61	199964
Lrrc18	474354
Rnf11	26994
1700021F07Rik	128602
Mbnl3	55796
Kbtbd8	84541
Efcab9	285588
Syt6	148281
Nodal	4838
Rlim	51132
Ddo	8528
Adgrf4	221393
Kif13b	23303
Fbxo25	26260
Snapc2	6618
Ranbp3	8498
Sod1	6647
Adamts10	81794
Slitrk3	22865
Rab11b	9230
Pax3	5077
Siglecf	27181
Slmap	7871
Rerg	85004
Slc12a5	57468
Asb1	51665
Nfkbid	84807
Xcr1	2829
Plcb2	5330
B3galt5	10317
Spata25	128497
Hist1h2an	8969
Cmklr1	1240
Mogat1	116255
Gpr45	11250
Sf3b6	51639
Zfp64	55734
mt-Nd2	4536
Amy2a4	280
Amy2a2	280
Amy2a3	280
Amy2a5	280
Pdpn	10630
Pacrg	135138
Dlec1	9940
Elp5	23587
C1qtnf5	114902
Rad54b	25788
Ubl7	84993
Espnl	339768
Caly	50632
Bdh1	622
Gabpb2	126626
Gli2	2736
Togaram2	165186
Rom1	6094
Arsb	411
Asph	444
Dip2b	57609
Ndufa4l2	56901
Ythdf2	51441
Ppwd1	23398
Aco1	48
Rimklb	57494
Tas2r130	50837
Zfp30	22835
Rnase11	122651
1110008L16Rik	9692
Tnpo3	23534
Ckm	1158
Chek1	1111
Slc6a4	6532
Ophn1	4983
Klhl12	59349
Ccdc32	90416
Pold3	10714
Capn6	827
Zbtb16	7704
Bub1	699
Lrrc59	55379
Pank2	80025
Gpatch11	253635
Stac	6769
Sh3glb2	56904
Irx2	153572
Ddx21	9188
Kpna1	3836
Rbm5	10181
Mpp3	4356
Plcl2	23228
Loxl3	84695
Abca7	10347
Slc10a1	6554
Cyp3a13	1551
Pvrig	79037
Insc	387755
Gpr18	2841
Dusp27	92235
Ptpn9	5780
Trmt112	51504
Nrarp	441478
Rexo4	57109
Adra1d	146
Slco4c1	353189
1700037C18Rik	646174
Bmp6	654
Pawr	5074
Bcl2l12	83596
Calcr	799
4833439L19Rik	57179
Pacrgl	133015
Ms4a6d	64231
Rsph14	27156
Gls	2744
Nim1k	167359
Tceal9	51186
Brd3	8019
Slc22a16	85413
Hif3a	64344
Nos1	4842
Gpr68	8111
Txlng	55787
Uqcrb	7381
Pebp1	5037
Ano4	121601
Spata24	202051
Rps24	6229
Matn2	4147
Muc5b	727897
Acsm3	6296
Cxcr4	7852
Bzw1	9689
Foxk2	3607
Otos	150677
Dhrs9	10170
Cfap44	55779
Smpdl3a	10924
Nr2f2	7026
Cd93	22918
Ces2h	8824
Selenok	58515
Carhsp1	23589
Gpr12	2835
Thrap3	9967
Olfr594	119678
4930404N11Rik	100128569
Galnt5	11227
Ang	283
Poll	27343
Cyp27a1	1593
Pdpk1	5170
Tnfaip8l1	126282
Mospd3	64598
Fam186b	84070
Cntnap3	79937
Slc30a7	148867
Rab39	54734
Plau	5328
Prdm1	639
Olfr666	390077
Pla2g4b	100137049
Eif2b1	1967
Trappc11	60684
Palm3	342979
Morc3	23515
Stmn3	50861
Zfp541	84215
Smg6	23293
Narfl	64428
Ybx1	4904
Zcchc7	84186
Prr18	285800
Camp	820
Igfbp4	3487
Tedc2	80178
Nphs2	7827
Nsmce2	286053
Zscan20	7579
B4galt5	9334
Tbc1d30	23329
Neu4	129807
Mpzl3	196264
Gtpbp1	9567
Ptcd3	55037
Grxcr1	389207
Msi1	4440
Wdr60	55112
Hsp90ab1	3326
Rpl7a	6130
Chia1	27159
Rnase9	390443
Zfp275	10838
Dll1	28514
Apc	324
Syt17	51760
Hic1	3090
Col4a1	1282
Zfp433	163059
Gm32687	163059
Gm33378	163059
Taf5	6877
Tmbim4	51643
Parva	55742
Man2c1	4123
Get4	51608
Cib1	10519
Trpm4	54795
Fdft1	2222
4933411K16Rik	414157
Galnt13	114805
Pcyox1l	78991
Olfr355	138881
